condition,n,baseline_rate_percent,masked_rate_percent,causal_effect,causal_effect_pp,ci_lower_pp,ci_upper_pp,p_value
all,522,58.23754789272031,54.406130268199234,0.038314176245210725,3.8314176245210727,2.2988505747126435,5.555555555555555,0.0
removed,522,58.23754789272031,58.23754789272031,0.0,0.0,-0.7662835249042145,0.7662835249042145,1.0
context,522,58.23754789272031,58.429118773946364,-0.0019157088122605363,-0.19157088122605362,-0.9578544061302682,0.5747126436781609,0.8352
background,522,58.23754789272031,55.172413793103445,0.03065134099616858,3.065134099616858,1.532567049808429,4.597701149425287,0.0
