region,comparison,n,high_rate_percent,comparison_rate_percent,high_uncertainty_advantage,high_uncertainty_advantage_pp,ci_lower_pp,ci_upper_pp,p_value
all,random,522,54.406130268199234,53.83141762452107,-0.005747126436781609,-0.5747126436781609,-2.10727969348659,0.9578544061302682,0.5436
all,low,522,54.406130268199234,53.83141762452107,-0.005747126436781609,-0.5747126436781609,-1.9157088122605364,0.7662835249042145,0.4814
removed,random,522,58.23754789272031,58.04597701149425,-0.0019157088122605363,-0.19157088122605362,-0.7710727969348615,0.38314176245210724,0.7994
removed,low,522,58.23754789272031,57.47126436781609,-0.007662835249042145,-0.7662835249042145,-1.532567049808429,-0.19157088122605362,0.0318
context,random,522,58.429118773946364,58.620689655172406,0.0019157088122605363,0.19157088122605362,-0.38314176245210724,0.9578544061302682,0.7788
context,low,522,58.429118773946364,58.429118773946364,0.0,0.0,-0.9578544061302682,0.9578544061302682,1.0
background,random,522,55.172413793103445,55.172413793103445,0.0,0.0,-1.1494252873563218,1.1494252873563218,1.0
background,low,522,55.172413793103445,55.172413793103445,0.0,0.0,-1.1494252873563218,1.1494252873563218,1.0
