condition,n,baseline_accuracy_percent,masked_accuracy_percent,accuracy_drop,accuracy_drop_pp,ci_lower_pp,ci_upper_pp,p_value
all,522,90.42145593869732,87.73946360153256,0.02681992337164751,2.681992337164751,1.1494252873563218,4.406130268199234,0.0002
removed,522,90.42145593869732,90.22988505747126,0.0019157088122605363,0.19157088122605362,-0.38314176245210724,0.7662835249042145,0.7892
context,522,90.42145593869732,90.42145593869732,0.0,0.0,-0.5747126436781609,0.5747126436781609,1.0
background,522,90.42145593869732,88.50574712643679,0.019157088122605363,1.9157088122605364,0.7662835249042145,3.256704980842912,0.0016
