region,n,high_rate_percent,random_rate_percent,uncertainty_advantage,uncertainty_advantage_pp,ci_lower_pp,ci_upper_pp,p_value
all,522,54.406130268199234,53.83141762452107,-0.005747126436781609,-0.5747126436781609,-2.10727969348659,0.9578544061302682,0.5436
removed,522,58.23754789272031,58.04597701149425,-0.0019157088122605363,-0.19157088122605362,-0.7710727969348615,0.38314176245210724,0.7994
context,522,58.429118773946364,58.620689655172406,0.0019157088122605363,0.19157088122605362,-0.38314176245210724,0.9578544061302682,0.7788
background,522,55.172413793103445,55.172413793103445,0.0,0.0,-1.1494252873563218,1.1494252873563218,1.0
