condition,n,hallucinated_yes,correct_rejection_no,unknown,hallucination_rate,hallucination_rate_percent
none,522,304,218,0,0.5823754789272031,58.23754789272031
all,522,284,238,0,0.5440613026819924,54.406130268199234
removed,522,304,218,0,0.5823754789272031,58.23754789272031
context,522,305,216,1,0.5842911877394636,58.429118773946364
background,522,288,234,0,0.5517241379310345,55.172413793103445
