model,condition,total_samples,active_samples,active_fraction,none_hallucinated,masked_hallucinated,none_rate,masked_rate,effect,effect_pp,yes_to_no,no_to_yes,net_hallucination_reduction
qwen25vl7b,all,522,522,1.0,304,284,0.5823754789272031,0.5440613026819924,0.03831417624521072,3.831417624521072,20,0,20
qwen25vl7b,removed,522,503,0.9636015325670498,293,293,0.5825049701789264,0.5825049701789264,0.0,0.0,2,2,0
qwen25vl7b,context,522,508,0.9731800766283525,295,296,0.5807086614173228,0.5826771653543307,-0.0019685039370078705,-0.19685039370078705,2,3,-1
qwen25vl7b,background,522,522,1.0,304,288,0.5823754789272031,0.5517241379310345,0.03065134099616862,3.065134099616862,17,1,16
