condition,n,correct_yes,false_negative_no,unknown,accuracy,accuracy_percent,false_negative_rate,false_negative_rate_percent
none,522,472,50,0,0.9042145593869731,90.42145593869732,0.09578544061302682,9.578544061302683
all,522,458,64,0,0.8773946360153256,87.73946360153256,0.12260536398467432,12.260536398467432
removed,522,471,51,0,0.9022988505747126,90.22988505747126,0.09770114942528736,9.770114942528735
context,522,472,50,0,0.9042145593869731,90.42145593869732,0.09578544061302682,9.578544061302683
background,522,462,60,0,0.8850574712643678,88.50574712643679,0.11494252873563218,11.494252873563218
