region,comparison,n,high_yes_comparison_no,high_no_comparison_yes,unchanged_yes,unchanged_no,unknown_changes,net_high_uncertainty_advantage
all,random,522,8,7,274,231,2,-1
all,low,522,7,5,276,231,3,-2
removed,random,522,2,1,302,217,0,-1
removed,low,522,4,0,300,218,0,-4
context,random,522,1,2,304,214,1,1
context,low,522,3,3,302,213,1,0
background,random,522,4,5,283,228,2,1
background,low,522,4,5,283,227,3,1
