model,condition,total_samples,active_samples,active_fraction,none_hallucinated,masked_hallucinated,none_rate,masked_rate,effect,effect_pp,yes_to_no,no_to_yes,net_hallucination_reduction
llava7b,all,522,522,1.0,415,396,0.7950191570881227,0.7586206896551724,0.03639846743295028,3.6398467432950277,28,9,19
llava7b,removed,522,385,0.7375478927203065,308,302,0.8,0.7844155844155845,0.01558441558441559,1.558441558441559,8,2,6
llava7b,context,522,456,0.8735632183908046,362,359,0.793859649122807,0.7872807017543859,0.006578947368421129,0.6578947368421129,6,3,3
llava7b,background,522,522,1.0,415,399,0.7950191570881227,0.764367816091954,0.03065134099616862,3.065134099616862,23,7,16
llava13b,all,522,522,1.0,463,466,0.8869731800766284,0.89272030651341,-0.005747126436781547,-0.5747126436781547,16,19,-3
llava13b,removed,522,385,0.7375478927203065,338,341,0.8779220779220779,0.8857142857142857,-0.007792207792207795,-0.7792207792207795,3,6,-3
llava13b,context,522,456,0.8735632183908046,403,404,0.8837719298245614,0.8859649122807017,-0.002192982456140302,-0.21929824561403022,2,3,-1
llava13b,background,522,522,1.0,463,466,0.8869731800766284,0.89272030651341,-0.005747126436781547,-0.5747126436781547,15,18,-3
