condition_pair,selection_strategy,condition,n,hallucinated_yes,correct_rejection_no,unknown,hallucination_rate,hallucination_rate_percent
all,uncertainty,all,522,396,126,0,0.7586206896551724,75.86206896551724
all,random_matched,random_all,522,392,130,0,0.7509578544061303,75.09578544061303
removed,uncertainty,removed,522,409,113,0,0.7835249042145593,78.35249042145594
removed,random_matched,random_removed,522,411,111,0,0.7873563218390804,78.73563218390804
context,uncertainty,context,522,412,110,0,0.789272030651341,78.9272030651341
context,random_matched,random_context,522,413,109,0,0.7911877394636015,79.11877394636015
background,uncertainty,background,522,399,123,0,0.764367816091954,76.4367816091954
background,random_matched,random_background,522,400,122,0,0.7662835249042146,76.62835249042146
