uncertainty_condition,random_condition,n,uncertainty_hallucination_rate,random_hallucination_rate,uncertainty_hallucination_rate_percent,random_hallucination_rate_percent,uncertainty_advantage,uncertainty_advantage_pp,ci_lower,ci_upper,ci_lower_pp,ci_upper_pp,p_value
all,random_all,522,0.7586206896551724,0.7509578544061303,75.86206896551724,75.09578544061303,-0.007662835249042099,-0.7662835249042099,-0.02490421455938697,0.009578544061302681,-2.490421455938697,0.9578544061302682,0.4198
removed,random_removed,522,0.7835249042145593,0.7873563218390804,78.35249042145594,78.73563218390804,0.003831417624521105,0.3831417624521105,-0.0038314176245210726,0.011494252873563218,-0.38314176245210724,1.1494252873563218,0.4388
context,random_context,522,0.789272030651341,0.7911877394636015,78.9272030651341,79.11877394636015,0.0019157088122605526,0.19157088122605526,-0.009578544061302681,0.013409961685823755,-0.9578544061302682,1.3409961685823755,0.889
background,random_background,522,0.764367816091954,0.7662835249042146,76.4367816091954,76.62835249042146,0.0019157088122605526,0.19157088122605526,-0.01532567049808429,0.019157088122605363,-1.532567049808429,1.9157088122605364,0.9188
