condition,n,baseline_accuracy_percent,masked_accuracy_percent,accuracy_drop,accuracy_drop_pp,ci_lower_pp,ci_upper_pp,p_value
all,522,94.6360153256705,92.33716475095785,0.022988505747126436,2.2988505747126435,0.7662835249042145,4.022988505747127,0.0052
removed,522,94.6360153256705,94.25287356321839,0.0038314176245210726,0.38314176245210724,-0.38314176245210724,1.1494252873563218,0.455
context,522,94.6360153256705,94.25287356321839,0.0038314176245210726,0.38314176245210724,0.0,0.9578544061302682,0.276
background,522,94.6360153256705,92.72030651340997,0.019157088122605363,1.9157088122605364,0.38314176245210724,3.4482758620689653,0.0136
