condition,seed,n,uncertainty_hallucination_rate,random_hallucination_rate,uncertainty_hallucination_rate_percent,random_hallucination_rate_percent,uncertainty_advantage_pp,ci_lower_pp,ci_upper_pp,p_value,uncertainty_yes_random_no,uncertainty_no_random_yes,net_uncertainty_advantage
all,42,522,0.7586206896551724,0.7509578544061303,75.86206896551724,75.09578544061303,-0.7662835249042145,-2.490421455938697,0.9578544061302682,0.419,12,8,-4
all,43,522,0.7586206896551724,0.764367816091954,75.86206896551724,76.4367816091954,0.5747126436781609,-1.3409961685823755,2.490421455938697,0.601,11,14,3
all,44,522,0.7586206896551724,0.7605363984674329,75.86206896551724,76.0536398467433,0.19157088122605362,-1.9157088122605364,2.2988505747126435,0.9258,15,16,1
all,45,522,0.7586206896551724,0.7452107279693486,75.86206896551724,74.52107279693486,-1.3409961685823755,-3.256704980842912,0.5747126436781609,0.1964,17,10,-7
all,46,522,0.7586206896551724,0.7662835249042146,75.86206896551724,76.62835249042146,0.7662835249042145,-1.1494252873563218,2.8735632183908044,0.5176,12,16,4
removed,42,522,0.7835249042145593,0.7873563218390804,78.35249042145594,78.73563218390804,0.38314176245210724,-0.38314176245210724,1.1494252873563218,0.4382,1,3,2
removed,43,522,0.7835249042145593,0.7777777777777778,78.35249042145594,77.77777777777779,-0.5747126436781609,-1.532567049808429,0.19157088122605362,0.2518,4,1,-3
removed,44,522,0.7835249042145593,0.7931034482758621,78.35249042145594,79.3103448275862,0.9578544061302682,-0.19157088122605362,2.10727969348659,0.113,2,7,5
removed,45,522,0.7835249042145593,0.7854406130268199,78.35249042145594,78.544061302682,0.19157088122605362,-0.7662835249042145,1.1494252873563218,0.8614,3,4,1
removed,46,522,0.7835249042145593,0.7854406130268199,78.35249042145594,78.544061302682,0.19157088122605362,0.0,0.5747126436781609,0.738,0,1,1
context,42,522,0.789272030651341,0.7911877394636015,78.9272030651341,79.11877394636015,0.19157088122605362,-0.9578544061302682,1.3409961685823755,0.8752,4,5,1
context,43,522,0.789272030651341,0.7988505747126436,78.9272030651341,79.88505747126436,0.9578544061302682,-0.19157088122605362,2.10727969348659,0.1158,2,7,5
context,44,522,0.789272030651341,0.7911877394636015,78.9272030651341,79.11877394636015,0.19157088122605362,-0.7662835249042145,1.1494252873563218,0.8538,3,4,1
context,45,522,0.789272030651341,0.7911877394636015,78.9272030651341,79.11877394636015,0.19157088122605362,-0.9578544061302682,1.3409961685823755,0.8856,4,5,1
context,46,522,0.789272030651341,0.7969348659003831,78.9272030651341,79.6934865900383,0.7662835249042145,0.0,1.7241379310344827,0.1302,1,5,4
background,42,522,0.764367816091954,0.7662835249042146,76.4367816091954,76.62835249042146,0.19157088122605362,-1.7241379310344827,1.9157088122605364,0.9216,11,12,1
background,43,522,0.764367816091954,0.7701149425287356,76.4367816091954,77.01149425287356,0.5747126436781609,-1.1494252873563218,2.2988505747126435,0.6178,10,13,3
background,44,522,0.764367816091954,0.7624521072796935,76.4367816091954,76.24521072796935,-0.19157088122605362,-1.9157088122605364,1.532567049808429,0.9178,11,10,-1
background,45,522,0.764367816091954,0.7701149425287356,76.4367816091954,77.01149425287356,0.5747126436781609,-1.1494252873563218,2.2988505747126435,0.6018,10,13,3
background,46,522,0.764367816091954,0.7758620689655172,76.4367816091954,77.58620689655173,1.1494252873563218,-0.7662835249042145,2.8735632183908044,0.2626,9,15,6
