region,comparison,n,high_rate_percent,comparison_rate_percent,high_uncertainty_advantage,high_uncertainty_advantage_pp,ci_lower_pp,ci_upper_pp,p_value
all,low,522,75.86206896551724,79.50191570881226,0.03639846743295019,3.6398467432950192,1.532567049808429,5.938697318007663,0.0014
all,random,522,75.86206896551724,75.09578544061303,-0.007662835249042145,-0.7662835249042145,-2.490421455938697,0.9578544061302682,0.4298
removed,low,522,78.35249042145594,79.50191570881226,0.011494252873563218,1.1494252873563218,0.0,2.2988505747126435,0.0678
removed,random,522,78.35249042145594,78.73563218390804,0.0038314176245210726,0.38314176245210724,-0.38314176245210724,1.1494252873563218,0.4594
context,low,522,78.9272030651341,79.50191570881226,0.005747126436781609,0.5747126436781609,-0.5747126436781609,1.7241379310344827,0.3956
context,random,522,78.9272030651341,79.11877394636015,0.0019157088122605363,0.19157088122605362,-0.9578544061302682,1.3409961685823755,0.8646
background,low,522,76.4367816091954,79.50191570881226,0.03065134099616858,3.065134099616858,0.9578544061302682,5.172413793103448,0.004
background,random,522,76.4367816091954,76.62835249042146,0.0019157088122605363,0.19157088122605362,-1.532567049808429,1.9157088122605364,0.9298
