condition,num_random_seeds,n_samples,uncertainty_rate_percent,random_mean_rate_percent,uncertainty_advantage_pp,ci_lower_pp,ci_upper_pp,p_value
all,5,522,75.86206896551724,75.74712643678161,-0.11494252873563203,-1.6475095785440614,1.4942528735632181,0.8894
removed,5,522,78.35249042145594,78.5823754789272,0.22988505747126442,-0.30651340996168575,0.8045977011494253,0.3744
context,5,522,78.9272030651341,79.38697318007662,0.45977011494252884,-0.42145593869731796,1.3793103448275863,0.329
background,5,522,76.4367816091954,76.89655172413794,0.45977011494252873,-1.0344827586206897,2.030651340996169,0.546
