condition,n,correct_yes,false_negative_no,unknown,accuracy,accuracy_percent,false_negative_rate,false_negative_rate_percent
none,522,494,28,0,0.946360153256705,94.6360153256705,0.05363984674329502,5.363984674329502
all,522,482,40,0,0.9233716475095786,92.33716475095785,0.07662835249042145,7.662835249042145
removed,522,492,30,0,0.9425287356321839,94.25287356321839,0.05747126436781609,5.747126436781609
context,522,492,30,0,0.9425287356321839,94.25287356321839,0.05747126436781609,5.747126436781609
background,522,484,38,0,0.9272030651340997,92.72030651340997,0.07279693486590039,7.2796934865900385
