condition,num_random_seeds,uncertainty_hallucination_rate_percent,random_hallucination_rate_mean_percent,random_hallucination_rate_std_percent,uncertainty_advantage_mean_pp,uncertainty_advantage_std_pp,minimum_random_rate_percent,maximum_random_rate_percent,seeds_where_uncertainty_better,seeds_where_random_better,seeds_tied
all,5,75.86206896551724,75.7471264367816,0.9046527933423488,-0.1149425287356322,0.9046527933423443,74.52107279693486,76.62835249042146,3,2,0
background,5,76.4367816091954,76.89655172413794,0.4995557398622719,0.45977011494252873,0.49955573986227186,76.24521072796935,77.58620689655173,4,1,0
context,5,78.9272030651341,79.38697318007662,0.3734403963528311,0.45977011494252873,0.3734403963528339,79.11877394636015,79.88505747126436,5,0,0
removed,5,78.35249042145594,78.5823754789272,0.5485755196657569,0.22988505747126436,0.5485755196657606,77.77777777777779,79.3103448275862,4,1,0
