model,baseline_hallucination_rate_percent,all_hallucination_reduction_pp,removed_hallucination_reduction_pp,context_hallucination_reduction_pp,background_hallucination_reduction_pp,all_accuracy_drop_pp,background_accuracy_drop_pp,context_accuracy_drop_pp,removed_accuracy_drop_pp
LLaVA-1.5-13B,88.69731800766284,-0.5747126436781547,-0.5747126436781547,-0.1915708812260441,-0.5747126436781547,,,,
LLaVA-1.5-7B,79.50191570881226,3.639846743295028,1.1494252873563315,0.5747126436781658,3.065134099616862,2.2988505747126435,1.9157088122605364,0.3831417624521072,0.3831417624521072
Qwen2.5-VL-7B,58.23754789272031,3.8314176245210727,0.0,-0.1915708812260536,3.065134099616858,2.681992337164751,1.9157088122605364,0.0,0.1915708812260536
