model,condition,baseline_accuracy_percent,masked_accuracy_percent,accuracy_drop_pp,ci_lower_pp,ci_upper_pp,p_value
LLaVA-1.5-7B,all,94.6360153256705,92.33716475095784,2.2988505747126435,0.7662835249042145,4.022988505747127,0.0052
LLaVA-1.5-7B,removed,94.6360153256705,94.2528735632184,0.3831417624521072,-0.3831417624521072,1.1494252873563218,0.455
LLaVA-1.5-7B,context,94.6360153256705,94.2528735632184,0.3831417624521072,0.0,0.9578544061302682,0.276
LLaVA-1.5-7B,background,94.6360153256705,92.72030651340997,1.9157088122605364,0.3831417624521072,3.4482758620689653,0.0136
Qwen2.5-VL-7B,all,90.42145593869732,87.73946360153256,2.681992337164751,1.1494252873563218,4.406130268199234,0.0002
Qwen2.5-VL-7B,removed,90.42145593869732,90.22988505747126,0.1915708812260536,-0.3831417624521072,0.7662835249042145,0.7892
Qwen2.5-VL-7B,context,90.42145593869732,90.42145593869732,0.0,-0.5747126436781609,0.5747126436781609,1.0
Qwen2.5-VL-7B,background,90.42145593869732,88.50574712643679,1.9157088122605364,0.7662835249042145,3.256704980842912,0.0016
